Service Name,Physical Address Line 1,Physical Address Line 2,Physical Suburb,Physical State,Physical Post Code,2019 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude
Bethanie Home Care Level 2 Metro South West,18 Olivenza Crescent,25 Council Avenue,PORT KENNEDY,WA,6172,Metropolitan South West,Home Care,,,,The Bethanie Group Incorporated,Religious,Major Cities of Australia,-32.35759,115.77042
Bethanie Home Care Level 2 Mid West,36 Cairncross Street,,BERESFORD,WA,6530,Mid West,Home Care,,,,The Bethanie Group Incorporated,Religious,Outer Regional Australia,-28.75581788,114.6234192
Bethanie Home Care Level 2 South West,86 Blair Street,,BUNBURY,WA,6230,South West,Home Care,,,,The Bethanie Group Incorporated,Religious,Inner Regional Australia,-33.32949,115.64118
Bethanie Home Care Level 4 Metro North,"Unit 10, 98 Ellersdale Avenue",,WARWICK,WA,6024,Metropolitan North,Home Care,,,,The Bethanie Group Incorporated,Religious,Major Cities of Australia,-31.84139,115.81198
Bethanie Home Care Level 4 Mid West,36 Cairncross Street,,GERALDTON,WA,6530,Mid West,Home Care,,,,The Bethanie Group Incorporated,Religious,Outer Regional Australia,-28.75581788,114.6234192
Brightwater At Home Services - East CACP,"177 Walter Road, West",,DIANELLA,WA,6059,Metropolitan North,Home Care,,,,Brightwater Care Group Limited,Charitable,Major Cities of Australia,-31.899001,115.889528
Brightwater Home Care Packages East,"183 WALTER Road, West",200 Townshend Road,DIANELLA,WA,6059,Metropolitan East,Home Care,,,,Brightwater Care Group Limited,Charitable,Major Cities of Australia,-31.90444462,115.8844022
Brightwater At Home Services - Metro South West CACP,"Unit Go 73b, 1 Council Avenue",,ROCKINGHAM,WA,6168,Metropolitan South West,Home Care,,,,Brightwater Care Group Limited,Charitable,Major Cities of Australia,-32.28976,115.74503
Brightwater Home Care Packages North,"Level 1, 74 Delamere Avenue",200 Townshend Road,CURRAMBINE,WA,6028,Metropolitan North,Home Care,,,,Brightwater Care Group Limited,Charitable,Major Cities of Australia,-31.740418,115.740508
Brightwater Home Care Packages South West,"Unit Go 73b, 1 Council Avenue",,ROCKINGHAM,WA,6168,Metropolitan South West,Home Care,,,,Brightwater Care Group Limited,Charitable,Major Cities of Australia,-32.28976,115.74503
Canning Intensive Care Packages,"'Pendana', NYAMUP Way",,BENTLEY,WA,6102,Metropolitan South East,Home Care,,,,City of Canning,Local Government,Major Cities of Australia,-32.01044,115.91036
Care Options Care Packages,15 READ Street,,ROCKINGHAM,WA,6168,Metropolitan South West,Home Care,,,,Care Options Incorporated,Private Incorporated Body,Major Cities of Australia,-32.285,115.73614
MercyCare Home Care Packages Level 2 (North Metro),18 Barrett Street,,WEMBLEY,WA,6014,Metropolitan North,Home Care,,,,Mercy Community Services Limited,Charitable,Major Cities of Australia,-31.93809,115.82318
MercyCare Home Care Packages Level 2 (South West Metro),18 Barrett Street,,WEMBLEY,WA,6014,Metropolitan North,Home Care,,,,Mercy Community Services Limited,Charitable,Major Cities of Australia,-31.93809,115.82318
MercyCare Home Care Packages Level 4 (North Metro),18 Barrett Street,,WEMBLEY,WA,6014,Metropolitan North,Home Care,,,,Mercy Community Services Limited,Charitable,Major Cities of Australia,-31.93809,115.82318
City of Canning Care Packages,"'Pendana', NYAMUP Way",,BENTLEY,WA,6102,Metropolitan South East,Home Care,,,,City of Canning,Local Government,Major Cities of Australia,-32.01044,115.91036
City of Cockburn Community Aged Care Packages,6 Ingram Street,,HAMILTON HILL,WA,6163,Metropolitan South West,Home Care,,,,City of Cockburn,Local Government,Major Cities of Australia,-32.080057,115.789323
Community Home Care CACP,3 Parade Road,,SOUTH BUNBURY,WA,6230,South West,Home Care,,,,Community Home Care Inc,Community Based,Inner Regional Australia,-33.35815,115.641
Coolibah Total Caring - EACH,30 Third Avenue,24-32 Third Avenue,MANDURAH,WA,6210,Metropolitan South West,Home Care,,,,Mandurah Retirement Village,Community Based,Major Cities of Australia,-32.54103,115.74273
Cura In-Home Care,"Unit 3, 8 Welshpool Road",,EAST VICTORIA PARK,WA,6101,Metropolitan South East,Home Care,,,,Dutch Aged Care (Western Australia) Inc,Charitable,Major Cities of Australia,-31.99328955,115.9142358
Dale Community Care,2 Hobbs Drive,,ARMADALE,WA,6112,Metropolitan South East,Home Care,,,,Dale Cottages (Inc.),Community Based,Major Cities of Australia,-32.15862143,116.0146968
Danvero Albany CACP,55 Hardie Road,,SPENCER PARK,WA,6330,Great Southern,Home Care,,,,Danvero Pty Ltd,Private Incorporated Body,Outer Regional Australia,-35.00295411,117.9012744
Danvero Albany EACH,55 Hardie Road,,SPENCER PARK,WA,6330,Great Southern,Home Care,,,,Danvero Pty Ltd,Private Incorporated Body,Outer Regional Australia,-35.00295411,117.9012744
Danvero Albany EACH-D,55 Hardie Road,,SPENCER PARK,WA,6330,Great Southern,Home Care,,,,Danvero Pty Ltd,Private Incorporated Body,Outer Regional Australia,-35.00295411,117.9012744
Esperance Home Care - EACH,19 Black Street,,ESPERANCE,WA,6450,Goldfields,Home Care,,,,Shire of Esperance,Local Government,Remote Australia,-33.85761477,121.8824758
Esperance Home Care Packages,19 Black Street,,ESPERANCE,WA,6450,Goldfields,Home Care,,,,Shire of Esperance,Local Government,Remote Australia,-33.85761477,121.8824758
Juniper Kununurra Home Care (Level 4s),5 Coolibah Drive,,KUNUNURRA,WA,6743,Kimberley,Home Care,,,,Uniting Church Homes,Religious,Very Remote Australia,-15.77600327,128.7334232
Astley Care Home Care Packages,23 Astley Street,,GOSNELLS,WA,6110,Metropolitan South East,Home Care,,,,Astley Care Inc,Charitable,Major Cities of Australia,-32.07302001,116.00492
HomeCare Options (CACP Packages),"Level 1, 27-31 Troode Street",,WEST PERTH,WA,6005,Metropolitan East,Home Care,,,,MyHomecare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.943627,115.844776
Home Care Options,"Level 1, 27-31 Troode Street",,WEST PERTH,WA,6005,Metropolitan East,Home Care,,,,MyHomecare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.943627,115.844776
Icare Community Aged Services (IAWCC),209 Fitzgerald Street,,PERTH,WA,6000,Metropolitan East,Home Care,,,,Italo-Australian Welfare & Cultural Centre Incorporated,Community Based,Major Cities of Australia,-31.93919,115.85697
Juniper Community - CACP North,"Ground Floor, Juniper Ron Wilson House",1 Centenary Drive,BENTLEY,WA,6102,Metropolitan South East,Home Care,,,,Uniting Church Homes,Religious,Major Cities of Australia,-32.00573399,115.899851
Juniper Community - CACP Northam,61-63 Wellington Street,,NORTHAM,WA,6401,Wheatbelt,Home Care,,,,Uniting Church Homes,Religious,Inner Regional Australia,-31.65937136,116.6672697
Juniper Community - CACP South,"Ground Floor, Juniper Ron Wilson House",1 Centenary Drive,BENTLEY,WA,6102,Metropolitan South East,Home Care,,,,Uniting Church Homes,Religious,Major Cities of Australia,-32.00573399,115.899851
Juniper Community - Level 4 North,"Ground Floor, Juniper Ron Wilson House",1 Centenary Drive,BENTLEY,WA,6102,Metropolitan South East,Home Care,,,,Uniting Church Homes,Religious,Major Cities of Australia,-32.00573399,115.899851
Juniper Community - Level 4 Northam,61-63 Wellington Street,,NORTHAM,WA,6401,Wheatbelt,Home Care,,,,Uniting Church Homes,Religious,Inner Regional Australia,-31.65937136,116.6672697
Juniper Community - Level 4 South,"Ground Floor, Juniper Ron Wilson House",1 Centenary Drive,BENTLEY,WA,6102,Metropolitan South East,Home Care,,,,Uniting Church Homes,Religious,Major Cities of Australia,-32.00573399,115.899851
Kimberley Aged and Community Services,61 HERBERT Street,,BROOME,WA,6725,Kimberley,Home Care,,,,WA Country Health Service,State Government,Remote Australia,-17.964199,122.233882
Kimberley Aged and Community Services EACH,61 HERBERT Street,,BROOME,WA,6725,Kimberley,Home Care,,,,WA Country Health Service,State Government,Remote Australia,-17.964199,122.233882
KinCare CACP - Metropolitan Perth,Level 1,2 Mackie Street,VICTORIA PARK,WA,6100,Metropolitan South East,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.97493121,115.8905476
KinCare EACH - Metropolitan Perth,Level 1,2 Mackie Street,VICTORIA PARK,WA,6100,Metropolitan South East,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.97493121,115.8905476
KinCare EACHD - Metropolitan Perth,Level 1,2 Mackie Street,VICTORIA PARK,WA,6100,Metropolitan South East,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.97493121,115.8905476
Juniper Community - Level 2 Kimberley,5 Coolibah Drive,,KUNUNURRA,WA,6743,Kimberley,Home Care,,,,Uniting Church Homes,Religious,Very Remote Australia,-15.77600327,128.7334232
MYVISTA Community Care,11 Nugent Street,,BALCATTA,WA,6021,Metropolitan North,Home Care,,,,Stirling Ethnic Aged Home Association (Inc),Community Based,Major Cities of Australia,-31.86585,115.82716
Narrogin Regional Homecare,Jessie House,30 Clayton Road,NARROGIN,WA,6312,Wheatbelt,Home Care,,,,Shire of Narrogin,Local Government,Outer Regional Australia,-32.93134,117.17455
St Bart's Home Care,7 Lime Street,,EAST PERTH,WA,6004,Metropolitan East,Home Care,,,,St Bartholomew's House Inc,Charitable,Major Cities of Australia,-31.950984,115.86993
Pam Corker House,29 Eastcott Street,,WAROONA,WA,6215,Metropolitan South West,Home Care,,,,Quambie Park Waroona (Inc),Community Based,Inner Regional Australia,-32.84290931,115.925935
Pam Corker House EACH,29 Eastcott Street,,WAROONA,WA,6215,Metropolitan South West,Home Care,,,,Quambie Park Waroona (Inc),Community Based,Inner Regional Australia,-32.84290931,115.925935
Panda The Asian Aged Care Program,128 James Street,,NORTHBRIDGE,WA,6003,Metropolitan East,Home Care,,,,Chung Wah Association,Charitable,Major Cities of Australia,-31.94789394,115.8575514
Avivo: Live Life Metro East Level 1 and 2,"Level 2, 30 Hasler Road",,OSBORNE PARK,WA,6017,Metropolitan North,Home Care,,,,Avivo: Live Life Inc,Charitable,Major Cities of Australia,-31.91062297,115.8089828
Avivo: Live Life Metro North Level 1 and 2,"Level 2, 30 Hasler Road",,OSBORNE PARK,WA,6017,Metropolitan North,Home Care,,,,Avivo: Live Life Inc,Charitable,Major Cities of Australia,-31.91062297,115.8089828
Avivo: Live Life Metro South East Level 1 and 2,1 / 234 Berrigan Drive,,JANDAKOT,WA,6164,Metropolitan South West,Home Care,,,,Avivo: Live Life Inc,Charitable,Major Cities of Australia,-32.10825851,115.859103
Avivo: Live Life Metro South West Level 1 and 2,1 / 234 Berrigan Drive,,JANDAKOT,WA,6164,Metropolitan South West,Home Care,,,,Avivo: Live Life Inc,Charitable,Major Cities of Australia,-32.10825851,115.859103
Avivo: Live Life Metro East Level 3 and 4,"Level 2, 30 Hasler Road",,OSBORNE PARK,WA,6017,Metropolitan North,Home Care,,,,Avivo: Live Life Inc,Charitable,Major Cities of Australia,-31.91062297,115.8089828
Avivo: Live Life Metro North Level 3 and 4,"Level 2, 30 Hasler Road",,OSBORNE PARK,WA,6017,Metropolitan North,Home Care,,,,Avivo: Live Life Inc,Charitable,Major Cities of Australia,-31.91062297,115.8089828
Avivo: Live Life Metro South East Level 3 and 4,1 / 234 Berrigan Drive,,JANDAKOT,WA,6164,Metropolitan South West,Home Care,,,,Avivo: Live Life Inc,Charitable,Major Cities of Australia,-32.10825851,115.859103
Avivo: Live Life Metro South West Level 3 and 4,1 / 234 Berrigan Drive,,JANDAKOT,WA,6164,Metropolitan South West,Home Care,,,,Avivo: Live Life Inc,Charitable,Major Cities of Australia,-32.10825851,115.859103
Rainbow The Multicultural Aged Care Program,33 Eighth Avenue,,MAYLANDS,WA,6051,Metropolitan East,Home Care,,,,West Australian Association of Polish Women Inc,Charitable,Major Cities of Australia,-31.93128,115.89442
Avivo: Live Life Wheatbelt Level 1 and 2,"149 Fitzgerald Street, East",,NORTHAM,WA,6401,Wheatbelt,Home Care,,,,Avivo: Live Life Inc,Charitable,Inner Regional Australia,-31.65319953,116.6724821
Avivo: Live Life Wheatbelt Level 3 and 4,"149 Fitzgerald Street, East",,NORTHAM,WA,6401,Wheatbelt,Home Care,,,,Avivo: Live Life Inc,Charitable,Inner Regional Australia,-31.65319953,116.6724821
Rise,41 a Great Northern Highway,,MIDDLE SWAN,WA,6056,Metropolitan East,Home Care,,,,Rise Network Inc,Charitable,Major Cities of Australia,-31.87311,116.01117
Acacia Living Group Eastern Hills Home Care Packages,176 Grove Road,6 Canning Road,LESMURDIE,WA,6076,Metropolitan East,Home Care,,,,Acacia Living Group Limited,Charitable,Major Cities of Australia,-32.00025,116.04983
Acacia Living Group Eastern Hills Home Care,176 Grove Road,6 Canning Road,LESMURDIE,WA,6076,Metropolitan East,Home Care,,,,Acacia Living Group Limited,Charitable,Major Cities of Australia,-32.00025,116.04983
Acacia Living Group Midwest Home Care Packages,134 Gregory Street,,BEACHLANDS,WA,6530,Mid West,Home Care,,,,Acacia Living Group Limited,Charitable,Outer Regional Australia,-28.78434,114.6055
Acacia Living Group Metro Home Care Packages,16 Freedman Road,,MENORA,WA,6050,Metropolitan North,Home Care,,,,Acacia Living Group Limited,Charitable,Major Cities of Australia,-31.91714346,115.8656646
Acacia Living Group Metro Home Care,16 Freedman Road,,MENORA,WA,6050,Metropolitan North,Home Care,,,,Acacia Living Group Limited,Charitable,Major Cities of Australia,-31.91714346,115.8656646
Acacia Living Group Midwest Home Care,134 Gregory Street,,BEACHLANDS,WA,6530,Mid West,Home Care,,,,Acacia Living Group Limited,Charitable,Outer Regional Australia,-28.78434,114.6055
Share And Care Community Services Group Inc - Home Support Services,"88 Wellington Street, East",,NORTHAM,WA,6401,Wheatbelt,Home Care,,,,Share & Care Community Services Group Incorporated,Charitable,Inner Regional Australia,-31.655285,116.671249
Silver Chain Great Southern HCP Level 2,91 SEYMOUR Street,,MIRA MAR,WA,6330,Great Southern,Home Care,,,,Silver Chain Group Limited,Charitable,Outer Regional Australia,-35.01073368,117.9022962
Silver Chain South East Metropolitan HCP Level 2,1938 Albany Highway,,MADDINGTON,WA,6109,Metropolitan South East,Home Care,,,,Silver Chain Group Limited,Charitable,Major Cities of Australia,-32.05244,115.98704
Silver Chain South West HCP Level 2,1 MITCHELL Crescent,,CAREY PARK,WA,6230,South West,Home Care,,,,Silver Chain Group Limited,Charitable,Inner Regional Australia,-33.34729582,115.6444846
Silver Chain Mid West HCP Level 2,"Suite 2, 114 Sanford Street",,GERALDTON,WA,6530,Mid West,Home Care,,,,Silver Chain Group Limited,Charitable,Outer Regional Australia,-28.77553039,114.6120015
Silver Chain Goldfields HCP Level 2,19 York Street,,KALGOORLIE,WA,6432,Goldfields,Home Care,,,,Silver Chain Group Limited,Charitable,Outer Regional Australia,-30.77312,121.489
Silver Chain East Metropolitan HCP Level 2,1938 Albany Highway,,MADDINGTON,WA,6109,Metropolitan South East,Home Care,,,,Silver Chain Group Limited,Charitable,Major Cities of Australia,-32.05244,115.98704
Silver Chain South West Metropolitan HCP Level 2,81 NORTH LAKE Road,,MYAREE,WA,6154,Metropolitan South West,Home Care,,,,Silver Chain Group Limited,Charitable,Major Cities of Australia,-32.04231,115.81531
Silver Chain Wheatbelt HCP Level 2,84 Newcastle Road,,NORTHAM,WA,6401,Wheatbelt,Home Care,,,,Silver Chain Group Limited,Charitable,Inner Regional Australia,-31.64781763,116.6586854
Silver Chain East Metropolitan HCP Level 4,19 Wright Street,,HIGHGATE,WA,6003,Metropolitan East,Home Care,,,,Silver Chain Group Limited,Charitable,Major Cities of Australia,-31.94085784,115.8740918
Silver Chain Mid West HCP Level 4,"Suite 2, 114 Sanford Street",,GERALDTON,WA,6530,Mid West,Home Care,,,,Silver Chain Group Limited,Charitable,Outer Regional Australia,-28.77553039,114.6120015
Silver Chain Goldfields HCP Level 4,19 York Street,,BOULDER,WA,6432,Goldfields,Home Care,,,,Silver Chain Group Limited,Charitable,Outer Regional Australia,-30.77312,121.489
Silver Chain Great Southern HCP Level 4,91 SEYMOUR Street,,MIRA MAR,WA,6330,Great Southern,Home Care,,,,Silver Chain Group Limited,Charitable,Outer Regional Australia,-35.01073368,117.9022962
Silver Chain North Metropolitan HCP Level 4,11 Moolanda Boulevard,,KINGSLEY,WA,6026,Metropolitan North,Home Care,,,,Silver Chain Group Limited,Charitable,Major Cities of Australia,-31.8192,115.80484
Silver Chain South East Metropolitan HCP Level 4,Maddington Service Centre,1938 Albany Highway,MADDINGTON,WA,6109,Metropolitan South East,Home Care,,,,Silver Chain Group Limited,Charitable,Major Cities of Australia,-32.05244,115.98704
Silver Chain South West HCP Level 4,1 MITCHELL Crescent,,CAREY PARK,WA,6230,South West,Home Care,,,,Silver Chain Group Limited,Charitable,Inner Regional Australia,-33.34729582,115.6444846
Silver Chain South West Metropolitan HCP Level 4,72 LAKES Road,,GREENFIELDS,WA,6210,Metropolitan South West,Home Care,,,,Silver Chain Group Limited,Charitable,Major Cities of Australia,-32.53383,115.76139
Silver Chain Wheatbelt HCP Level 4,79 Stirling Terrace,,TOODYAY,WA,6556,Wheatbelt,Home Care,,,,Silver Chain Group Limited,Charitable,Inner Regional Australia,-31.55041888,116.4701207
Southcare Packaged Care CACP,54 Bickley Crescent,,MANNING,WA,6152,Metropolitan South East,Home Care,,,,Southcare Inc,Charitable,Major Cities of Australia,-32.011139,115.869262
Southcare Packaged Care EACH,54 Bickley Crescent,,MANNING,WA,6152,Metropolitan South East,Home Care,,,,Southcare Inc,Charitable,Major Cities of Australia,-32.011139,115.869262
Southcare Packaged Care EACH D,54 Bickley Crescent,,MANNING,WA,6152,Metropolitan South East,Home Care,,,,Southcare Inc,Charitable,Major Cities of Australia,-32.011139,115.869262
Southern Cross Community Care Servcies CACP (CASA Program),15 Rowe Avenue,,RIVERVALE,WA,6103,Metropolitan South East,Home Care,,,,Southern Cross Care (WA) Inc,Religious,Major Cities of Australia,-31.95686,115.90428
Southern Cross Community Care Services CACP (Broome),20 Dickson Drive,20 Dickson Drive,BROOME,WA,6725,Kimberley,Home Care,,,,Southern Cross Care (WA) Inc,Religious,Remote Australia,-17.96911167,122.2273136
Southern Cross Community Care Services CACP (North Metro),15 Rowe Avenue,,RIVERVALE,WA,6103,Metropolitan South East,Home Care,,,,Southern Cross Care (WA) Inc,Religious,Major Cities of Australia,-31.95686,115.90428
Silver Chain Pilbara HCP Level 2,20 Logue Court,,SOUTH HEDLAND,WA,6722,Pilbara,Home Care,,,,Silver Chain Group Limited,Charitable,Remote Australia,-20.40220414,118.5988898
Southern Cross Community Care Services CACP (South East Metro),15 Rowe Avenue,,RIVERVALE,WA,6103,Metropolitan South East,Home Care,,,,Southern Cross Care (WA) Inc,Religious,Major Cities of Australia,-31.95686,115.90428
Southern Cross Community Care Services CACP (South West Metro),15 Rowe Avenue,,RIVERVALE,WA,6103,Metropolitan South East,Home Care,,,,Southern Cross Care (WA) Inc,Religious,Major Cities of Australia,-31.95686,115.90428
Southern Cross Community Care Services EACH (Broome),20 Dickson Drive,20 Dickson Drive,BROOME,WA,6725,Kimberley,Home Care,,,,Southern Cross Care (WA) Inc,Religious,Remote Australia,-17.96911167,122.2273136
Southern Cross Community Care Services EACH (Bunbury),"Unit 3, 19 Bussell Highway",,BUSSELTON,WA,6280,South West,Home Care,,,,Southern Cross Care (WA) Inc,Religious,Inner Regional Australia,-33.65281,115.339411
Southern Cross Community Care Services EACH (CASA Program),15 Rowe Avenue,,RIVERVALE,WA,6103,Metropolitan South East,Home Care,,,,Southern Cross Care (WA) Inc,Religious,Major Cities of Australia,-31.95686,115.90428
Southern Cross Community Care Services EACH (Metro),15 Rowe Avenue,,RIVERVALE,WA,6103,Metropolitan South East,Home Care,,,,Southern Cross Care (WA) Inc,Religious,Major Cities of Australia,-31.95686,115.90428
Silver Chain Pilbara HCP Level 4,20 Logue Court,,SOUTH HEDLAND,WA,6722,Pilbara,Home Care,,,,Silver Chain Group Limited,Charitable,Remote Australia,-20.40220414,118.5988898
Southern Cross Community Care Services EACH Dementia (Bunbury),"Unit 3, 19 Bussell Highway",,BUSSELTON,WA,6280,South West,Home Care,,,,Southern Cross Care (WA) Inc,Religious,Inner Regional Australia,-33.65281,115.339411
Southern Cross Community Care Services EACH Dementia Program,15 Rowe Avenue,,RIVERVALE,WA,6103,Metropolitan South East,Home Care,,,,Southern Cross Care (WA) Inc,Religious,Major Cities of Australia,-31.95686,115.90428
St Basil's Aged Care Services,22 Dianella Drive,,DIANELLA,WA,6059,Metropolitan North,Home Care,,,,St Basil's Aged Care Services in Western Australia (Vasileias) Inc,Religious,Major Cities of Australia,-31.885262,115.861876
St Basil's Aged Care Services EACH,22 Dianella Drive,,DIANELLA,WA,6059,Metropolitan North,Home Care,,,,St Basil's Aged Care Services in Western Australia (Vasileias) Inc,Religious,Major Cities of Australia,-31.885262,115.861876
Enrich Living Pty Ltd - WA Central,"Level 1, 27-31 Troode Street",,WEST PERTH,WA,6005,Metropolitan East,Home Care,,,,MyHomecare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.943627,115.844776
Enrich Living Pty Ltd - WA East Metro,"Level 1, 27-31 Troode Street",,WEST PERTH,WA,6005,Metropolitan East,Home Care,,,,MyHomecare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.943627,115.844776
Enrich Living Pty Ltd - WA North Metro,"Level 1, 27-31 Troode Street",,WEST PERTH,WA,6005,Metropolitan East,Home Care,,,,MyHomecare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.943627,115.844776
Enrich Living Pty Ltd - WA South East Metro,"Level 1, 27-31 Troode Street",,WEST PERTH,WA,6005,Metropolitan East,Home Care,,,,MyHomecare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.943627,115.844776
Enrich Living Pty Ltd - WA South West Metro,"Level 1, 27-31 Troode Street",,WEST PERTH,WA,6005,Metropolitan East,Home Care,,,,MyHomecare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.943627,115.844776
Enrich Living Pty Ltd - WA South West Region,"Level 1, 27-31 Troode Street",,WEST PERTH,WA,6005,Metropolitan East,Home Care,,,,MyHomecare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.943627,115.844776
Stanhope Aged Care Community Services EACH,"Level 1, 2 Mackie Street",,VICTORIA PARK,WA,6100,Metropolitan South East,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.97493121,115.8905476
Stanhope Aged Care Community Services EACHD,"Level 1, 2 Mackie Street",,VICTORIA PARK,WA,6100,Metropolitan South East,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.97493121,115.8905476
Stanhope Home Health Care Services,"Level 1, 2 Mackie Street",,VICTORIA PARK,WA,6100,Metropolitan South East,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.97493121,115.8905476
Capecare Home Care,20 RAY Avenue,,BROADWATER,WA,6280,South West,Home Care,,,,Ray Village Aged Services Inc,Charitable,Inner Regional Australia,-33.65821282,115.2692108
SwanCare Group Community Care,26 Plantation Drive,,BENTLEY,WA,6102,Metropolitan South East,Home Care,,,,SwanCare Group Inc.,Charitable,Major Cities of Australia,-32.00398277,115.9013201
Town of Bassendean - In Home Care,Ashfield Community Centre,2 Colstoun Road,ASHFIELD,WA,6054,Metropolitan East,Home Care,,,,Town of Bassendean,Local Government,Major Cities of Australia,-31.91378503,115.9363525
Triple A Care (Australian Asian Association of WA),275 Stirling Street,,PERTH,WA,6000,Metropolitan East,Home Care,,,,Australian Asian Association of Western Australia Inc,Charitable,Major Cities of Australia,-31.943299,115.867858
White Oak CACP East,Suite 14,115 Grand Boulevard,JOONDALUP,WA,6027,Metropolitan North,Home Care,,,,White Oak Home Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.74149,115.77065
Wiluna Aged Care Services (Ngangganawili),Lot 1467 Thompson Street,,WILUNA,WA,6646,Mid West,Home Care,,,,Ngangganawili Aboriginal Community Controlled Health & Medical Services Aboriginal Corporation,Charitable,Very Remote Australia,-26.5928875,120.2168653
Bethanie Como,30 McNabb Loop,,COMO,WA,6152,Metropolitan South East,Residential,99,,,The Bethanie Group Incorporated,Religious,Major Cities of Australia,-32.000469,115.872231
Aegis Amherst,75 Amherst Road,,CANNING VALE,WA,6155,Metropolitan South East,Residential,138,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.07799,115.92897
Carinya Of Bristol,41 Bristol Avenue,,BICTON,WA,6157,Metropolitan South West,Residential,40,,,Bansley Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.02927,115.78211
Braemar Cooinda,31 Moorhouse Street,,WILLAGEE,WA,6156,Metropolitan South West,Residential,108,,,The Commissioners of the Presbyterian Church in WA,Religious,Major Cities of Australia,-32.047,115.815
Aegis Montgomery,1 Heritage Lane,,MOUNT CLAREMONT,WA,6010,Metropolitan North,Residential,85,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.96254524,115.7834595
White Oak Home Care Services,"Unit 3, 65 Grand Boulevard",,JOONDALUP,WA,6027,Metropolitan North,Home Care,,,,White Oak Home Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.738011,115.770496
HenderCare Aged Care Services,"Suite 3, 610 Murray Street",,WEST PERTH,WA,6005,Metropolitan East,Home Care,,,,HenderCare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.94879,115.84717
Juniper Hayloft,1 Lewis Road,,MARTIN,WA,6110,Metropolitan South East,Residential,100,,,Uniting Church Homes,Religious,Major Cities of Australia,-32.063502,116.005477
KinCare At Home Metro Perth,"Level 1, 2 Mackie Street",,VICTORIA PARK,WA,6100,Metropolitan South East,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.97493121,115.8905476
Amana Transition Care Service,99 McCabe Street,,MOSMAN PARK,WA,6012,Metropolitan North,Transition Care,,,85,Government of Western Australia,State Government,Major Cities of Australia,-32.01857,115.76914
Aegis Karalee,68 Lyall Street,,REDCLIFFE,WA,6104,Metropolitan South East,Residential,61,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.93913137,115.9410604
Acacia Living Group South West Home Care,2 Wattle Street,,BUNBURY,WA,6230,South West,Home Care,,,,Acacia Living Group Limited,Charitable,Inner Regional Australia,-33.33509515,115.629873
Brightwater Home Care Packages South East,"170 Swansea Street, East",,EAST VICTORIA PARK,WA,6101,Metropolitan South East,Home Care,,,,Brightwater Care Group Limited,Charitable,Major Cities of Australia,-31.98474303,115.9062261
CHI Northern HCP,7 Beddi Road,,DUNCRAIG,WA,6023,Metropolitan North,Home Care,,,,Catholic Homes Incorporated,Religious,Major Cities of Australia,-31.83991,115.76429
CHI Eastern HCP,"224 Swan Street, West",,GUILDFORD,WA,6055,Metropolitan East,Home Care,,,,Catholic Homes Incorporated,Religious,Major Cities of Australia,-31.896428,115.961364
Bethanie Gwelup,72 Huntriss Road,,GWELUP,WA,6018,Metropolitan North,Residential,112,,,The Bethanie Group Incorporated,Religious,Major Cities of Australia,-31.880938,115.7872
Craigcare Ascot Waters,2 Waterway Crescent,,ASCOT,WA,6104,Metropolitan South East,Residential,164,,,Glenn-Craig Villages Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.936381,115.918003
Juniper Korumup,11 Townsend Street,,LOCKYER,WA,6330,Great Southern,Residential,100,,,Uniting Church Homes,Religious,Outer Regional Australia,-35.004864,117.853662
Silver Chain Great Southern HCP Level 3,91 SEYMOUR Street,,ALBANY,WA,6330,Great Southern,Home Care,,,,Silver Chain Group Limited,Charitable,Outer Regional Australia,-35.01073368,117.9022962
